,BasePay
0,167411.18
1,155966.02
2,212739.13
3,77916.0
4,134401.6
5,118602.0
6,92492.01
7,256576.96
8,176932.64
9,285262.0
10,194999.39
11,99722.0
12,294580.02
13,271329.03
14,174872.64
15,198778.01
16,268604.57
17,140546.87
18,168692.63
19,257510.59
20,257510.48
21,257510.44
22,140546.88
23,168692.63
24,140546.86
25,256470.41
26,92080.8
27,168692.59
28,261717.6
29,246225.6
30,234325.02
31,254027.63
32,248895.7
33,104861.39
34,177781.25
35,101953.2
36,245124.44
37,110661.2
38,132202.26
39,147158.85
40,168692.66
41,168692.63
42,218930.76
43,123013.02
44,196081.86
45,249375.02
46,168692.64
47,248895.77
48,233867.6
49,137729.92
50,168692.59
51,246305.62
52,140546.87
53,140546.88
54,140546.89
55,226206.8
56,240731.93
57,217410.8
58,115381.02
59,214745.44
60,123105.0
61,102571.24
62,140546.86
63,168692.62
64,148970.43
65,185369.69
66,177914.76
67,139167.39
68,122974.0
69,115455.44
70,220983.12
71,92782.61
72,95770.8
73,233357.28
74,130457.88
75,85578.61
76,174872.64
77,73754.05
78,140546.88
79,168692.62
80,172529.08
81,122272.69
82,168692.62
83,230827.12
84,217410.8
85,122404.98
86,150464.82
87,96814.36
88,88062.0
89,138878.82
90,188842.37
91,102722.4
92,149362.84
93,215914.03
94,168692.62
95,215180.76
96,208925.6
97,168692.67
98,122404.98
99,224035.85
100,168692.65
101,123105.0
102,105934.69
103,88400.7
104,105934.64
105,110474.93
106,149362.86
107,188708.0
108,188708.0
109,105934.67
110,206057.69
111,63811.18
112,220115.22
113,188708.0
114,88400.7
115,121628.34
116,219804.34
117,191054.19
118,150432.85
119,179648.0
120,140546.88
121,203658.55
122,122594.0
123,188889.44
124,88062.0
125,185369.68
126,192170.93
127,168692.63
128,140546.85
129,123105.0
130,158603.68
131,141648.87
132,215799.48
133,149044.93
134,166203.84
135,123416.25
136,182368.79
137,215180.75
138,213907.72
139,213907.72
140,213907.72
141,123105.0
142,130481.53
143,105934.63
144,206438.88
145,140546.63
146,183040.0
147,105934.69
148,167070.08
149,183040.0
150,105934.64
151,181502.08
152,173842.63
153,140546.88
154,86840.0
155,149050.69
156,82235.56
157,182134.81
158,198778.0
159,210821.61
160,88062.0
161,122404.98
162,207501.2
163,130457.96
164,116603.33
165,105934.67
166,90094.2
167,105934.65
168,161044.0
169,130481.56
170,123105.02
171,130457.88
172,60373.82
173,135651.04
174,77580.4
175,133769.86
176,175345.85
177,200385.64
178,122405.0
179,208243.12
180,77580.36
181,140546.85
182,207874.94
183,189853.68
184,63878.03
185,207798.79
186,177528.0
187,158603.6
188,207699.73
189,173937.49
190,130434.29
191,178526.48
192,130457.96
193,140546.87
194,174597.67
195,105934.66
196,206752.0
197,187237.53
198,105934.67
199,190352.67
200,105934.66
201,105934.67
202,127203.0
203,165996.75
204,105934.7
205,205609.58
206,130434.23
207,124894.0
208,130466.56
209,25400.0
210,149362.85
211,188341.62
212,176371.35
213,105934.65
214,188348.55
215,122820.36
216,89078.11
217,105934.65
218,122405.0
219,203450.0
220,184914.8
221,105934.66
222,111770.0
223,109667.03
224,63625.16
225,188341.6
226,122418.3
227,105934.64
228,110242.81
229,183500.8
230,202426.74
231,86840.0
232,139580.96
233,123105.0
234,123105.0
235,110638.66
236,172916.55
237,122404.99
238,122404.99
239,188341.64
240,188341.62
241,127886.02
242,149044.63
243,183040.0
244,112441.8
245,177343.5
246,158603.6
247,171236.03
248,196061.3
249,122404.99
250,200515.38
251,187094.56
252,188341.61
253,188341.6
254,105934.65
255,171236.02
256,169197.16
257,188341.84
258,123214.31
259,140546.9
260,140441.9
261,188314.54
262,199765.74
263,112421.46
264,184386.79
265,172198.0
266,85624.87
267,123105.02
268,123105.05
269,173453.3
270,105934.66
271,112401.06
272,105934.65
273,88400.7
274,188341.6
275,105934.66
276,77580.41
277,188341.6
278,126968.08
279,105934.66
280,122404.96
281,122404.98
282,198027.44
283,123105.02
284,188341.62
285,149044.41
286,89930.37
287,185724.5
288,128569.01
289,130466.59
290,130481.57
291,190243.46
292,192379.6
293,197233.84
294,105934.65
295,113695.71
296,195975.32
297,171071.36
298,196886.55
299,196886.55
300,105934.65
301,108947.02
302,112441.79
303,194566.01
304,161044.0
305,99000.0
306,196377.99
307,105934.63
308,112401.07
309,123105.03
310,78949.19
311,123105.0
312,168692.65
313,184805.62
314,140546.89
315,185724.5
316,195256.1
317,105934.64
318,140546.88
319,188314.5
320,105934.66
321,189841.6
322,86410.84
323,105934.69
324,123104.99
325,105934.64
326,135339.78
327,168713.21
328,171236.0
329,137709.85
330,105934.65
331,195121.53
332,126857.54
333,194980.11
334,194980.1
335,194980.09
336,140370.59
337,192379.6
338,130481.52
339,145835.82
340,113021.59
341,130481.55
342,105934.66
343,180356.1
344,140546.88
345,105934.69
346,180612.83
347,179860.39
348,188341.62
349,105934.65
350,189350.0
351,153932.54
352,132224.22
353,112421.46
354,129148.5
355,104073.4
356,105934.64
357,105934.68
358,122404.97
359,123104.98
360,158603.62
361,183040.0
362,112441.83
363,164711.0
364,86840.0
365,105934.64
366,188341.62
367,188341.64
368,188341.62
369,188341.6
370,188328.08
371,185342.48
372,78918.0
373,192007.49
374,102990.88
375,76424.2
376,182135.01
377,130466.61
378,127203.03
379,105934.68
380,192379.6
381,192379.6
382,192379.6
383,192379.6
384,122404.99
385,192183.91
386,77580.4
387,123105.0
388,105934.67
389,61232.0
390,192022.73
391,140441.86
392,104818.76
393,188218.38
394,171374.32
395,181522.51
396,188341.6
397,89873.18
398,191319.45
399,191287.06
400,123169.39
401,149044.41
402,130457.9
403,105934.7
404,190739.36
405,105934.64
406,164035.5
407,190617.54
408,189728.71
409,130505.2
410,149782.11
411,190248.76
412,190108.91
413,105934.69
414,140564.02
415,189931.7
416,106106.0
417,161661.6
418,118167.0
419,130457.95
420,163644.0
421,150355.43
422,123105.02
423,126857.59
424,140546.88
425,188341.63
426,171236.09
427,76298.77
428,171236.01
429,186021.06
430,189061.08
431,127203.01
432,103372.26
433,123169.95
434,188842.42
435,123105.01
436,130457.8
437,149050.77
438,103146.49
439,188592.6
440,109171.24
441,161044.0
442,161044.0
443,176314.14
