,OvertimePay
0,0.0
1,245131.88
2,106088.18
3,56120.71
4,9737.0
5,8601.0
6,89062.9
7,0.0
8,86362.68
9,0.0
10,71344.88
11,87082.62
12,0.0
13,0.0
14,74050.3
15,73478.2
16,0.0
17,119397.26
18,69626.12
19,880.16
20,0.0
21,377.21
22,93200.58
23,77896.14
24,97868.77
25,0.0
26,40008.0
27,80706.88
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,50227.61
34,59924.97
35,139102.95
36,0.0
37,31162.04
38,52648.92
39,64985.85
40,60847.56
41,59760.9
42,4078.0
43,111729.65
44,0.0
45,0.0
46,66199.23
47,0.0
48,0.0
49,89856.01
50,58084.86
51,0.0
52,77937.25
53,73207.61
54,82428.76
55,0.0
56,0.0
57,0.0
58,105028.94
59,9161.31
60,99584.94
61,7437.0
62,80411.9
63,54342.28
64,66977.63
65,37873.61
66,36644.57
67,66596.28
68,0.0
69,104632.95
70,0.0
71,5477.62
72,118949.93
73,0.0
74,51864.26
75,42878.01
76,16876.74
77,18679.06
78,62283.7
79,35096.74
80,0.0
81,90593.53
82,41158.72
83,0.0
84,0.0
85,92767.41
86,49813.69
87,0.0
88,135159.38
89,31843.34
90,21453.59
91,7437.0
92,51847.45
93,0.0
94,33191.6
95,0.0
96,5539.3
97,35402.71
98,86719.38
99,0.0
100,33656.87
101,84547.16
102,98534.35
103,126778.88
104,97395.59
105,83670.04
106,35003.5
107,0.0
108,0.0
109,96154.33
110,3431.01
111,57966.33
112,0.0
113,0.0
114,119951.72
115,89920.21
116,0.0
117,0.0
118,42365.89
119,0.0
120,52095.06
121,4759.36
122,79721.87
123,0.0
124,126725.82
125,27321.83
126,11260.27
127,22432.91
128,58354.29
129,77259.53
130,0.0
131,43574.57
132,0.0
133,4836.87
134,28448.6
135,66447.73
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,74266.87
142,2433.29
143,96611.56
144,0.0
145,53209.03
146,0.0
147,90329.62
148,0.0
149,0.0
150,89485.44
151,0.0
152,1210.13
153,54054.41
154,112320.96
155,57364.23
156,43352.6
157,18574.4
158,0.0
159,0.0
160,111199.78
161,72836.43
162,0.0
163,6284.61
164,78532.26
165,87642.33
166,111323.49
167,89773.95
168,4599.05
169,45597.19
170,67899.46
171,47342.41
172,25046.44
173,56307.38
174,115239.98
175,56093.64
176,0.0
177,0.0
178,68861.18
179,0.0
180,119407.7
181,47122.83
182,0.0
183,7060.31
184,24586.55
185,0.0
186,0.0
187,2605.95
188,0.0
189,0.0
190,47465.62
191,0.0
192,43329.66
193,47465.92
194,0.0
195,84172.44
196,0.0
197,743.34
198,82170.36
199,4455.28
200,85454.77
201,71960.12
202,53146.41
203,8054.01
204,82132.06
205,0.0
206,4461.66
207,65886.39
208,43708.28
209,37100.14
210,20253.61
211,0.0
212,7654.0
213,82384.96
214,5720.22
215,66083.91
216,114105.85
217,86551.38
218,65829.32
219,0.0
220,0.0
221,76867.18
222,61316.86
223,13707.84
224,41441.44
225,2258.63
226,64862.06
227,79964.69
228,16939.01
229,0.0
230,0.0
231,102118.8
232,33418.92
233,63856.44
234,56654.78
235,65587.13
236,0.0
237,65069.19
238,72093.79
239,1109.1
240,1068.45
241,57579.25
242,46800.24
243,0.0
244,17715.27
245,0.0
246,3242.47
247,0.0
248,0.0
249,71862.8
250,0.0
251,2341.63
252,0.0
253,0.0
254,76726.73
255,0.0
256,0.0
257,1134.34
258,4729.13
259,33196.91
260,41438.62
261,0.0
262,0.0
263,14978.42
264,0.0
265,0.0
266,66164.73
267,64525.66
268,59699.72
269,0.0
270,75817.75
271,45977.26
272,76012.89
273,107913.65
274,0.0
275,73625.33
276,113729.55
277,0.0
278,1706.08
279,70730.5
280,60981.91
281,67825.92
282,0.0
283,67514.41
284,2886.03
285,35620.45
286,104568.19
287,0.0
288,49853.04
289,44651.56
290,39489.61
291,0.0
292,0.0
293,0.0
294,68438.92
295,69419.29
296,0.0
297,7606.83
298,0.0
299,0.0
300,73178.82
301,61158.6
302,15338.11
303,1109.1
304,0.0
305,85978.1
306,0.0
307,72451.83
308,23572.29
309,50298.75
310,102454.79
311,58270.63
312,0.0
313,0.0
314,31841.33
315,0.0
316,0.0
317,72308.94
318,37549.62
319,0.0
320,73298.91
321,444.6
322,101652.14
323,73130.52
324,48977.36
325,69602.62
326,16309.92
327,12663.63
328,0.0
329,44327.76
330,71448.55
331,0.0
332,34841.75
333,0.0
334,0.0
335,0.0
336,45903.66
337,0.0
338,25861.6
339,12062.79
340,58660.17
341,14379.84
342,71373.32
343,0.0
344,20673.41
345,70312.13
346,0.0
347,0.0
348,1131.28
349,71837.3
350,0.0
351,21953.42
352,40592.45
353,16452.52
354,0.0
355,73036.51
356,67825.38
357,70824.16
358,55004.96
359,54870.85
360,0.0
361,0.0
362,14869.56
363,0.0
364,94362.36
365,69005.06
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,3627.67
372,38068.59
373,0.0
374,85752.59
375,0.0
376,9688.59
377,30544.79
378,47341.24
379,64725.94
380,0.0
381,0.0
382,0.0
383,0.0
384,54524.26
385,0.0
386,106701.58
387,60744.73
388,70333.26
389,29440.91
390,0.0
391,33587.61
392,74925.98
393,0.0
394,2173.38
395,0.0
396,1109.1
397,29069.09
398,0.0
399,0.0
400,3932.02
401,35055.93
402,11305.4
403,67188.81
404,0.0
405,66708.34
406,0.0
407,0.0
408,0.0
409,5990.5
410,8133.35
411,0.0
412,0.0
413,61896.0
414,11877.35
415,0.0
416,69382.3
417,619.4
418,51007.74
419,41304.21
420,0.0
421,9841.56
422,51115.99
423,45929.05
424,31454.05
425,0.0
426,0.0
427,105953.61
428,0.0
429,0.0
430,0.0
431,45392.98
432,78258.7
433,45679.84
434,0.0
435,50096.28
436,2881.68
437,13727.48
438,28702.13
439,0.0
440,25388.04
441,0.0
442,0.0
443,0.0
444,50720.85
445,0.0
446,50976.69
447,50649.77
448,0.0
449,64386.13
450,0.0
451,14803.16
452,0.0
453,0.0
454,97858.62
455,0.0
456,41809.29
457,33397.36
458,3115.45
459,73696.27
460,33554.54
461,71499.83
462,0.0
463,103370.89
464,18014.24
465,3044.77
466,0.0
467,5283.09
468,0.0
469,35508.55
470,91422.49
471,22203.89
472,6236.69
473,62776.35
474,40102.94
475,31740.87
476,9252.03
477,0.0
478,28449.31
479,0.0
480,91198.76
481,26074.89
482,62854.45
483,37935.71
484,33859.27
485,44586.06
486,28591.77
487,6342.63
488,0.0
489,63019.63
490,34003.88
491,0.0
492,30839.74
493,62182.73
494,47172.46
495,97729.16
496,38790.92
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,30188.24
523,37494.51
524,77081.46
525,0.0
526,0.0
527,0.0
528,25640.9
529,0.0
530,0.0
531,20304.62
532,4482.84
533,845.55
534,24685.32
535,44580.64
536,0.0
537,73458.28
538,0.0
539,35910.13
540,90023.99
541,0.0
542,0.0
543,48379.4
544,18721.14
545,45870.31
546,0.0
547,0.0
548,0.0
549,0.0
550,23373.0
551,5340.28
552,46723.27
553,26059.18
554,0.0
555,61569.8
556,0.0
557,13910.78
558,29541.31
559,0.0
560,0.0
561,28681.85
562,0.0
563,58392.63
564,0.0
565,0.0
566,59761.06
567,0.0
568,0.0
569,11784.8
570,14702.89
571,60014.31
572,1752.29
573,0.0
574,0.0
575,59757.11
576,57199.53
577,20803.92
578,24191.75
579,68980.44
580,8265.54
581,987.9
582,0.0
583,6528.81
584,48221.07
585,40530.24
586,32383.94
587,54835.51
588,0.0
589,0.0
590,2713.71
591,0.0
592,39050.79
593,44409.33
594,3880.09
595,32809.88
596,0.0
597,0.0
598,0.0
599,45235.11
600,0.0
601,617.7
602,28395.71
603,56641.93
604,0.0
605,23653.04
606,0.0
607,63115.82
608,29706.88
609,19514.01
610,24805.87
611,0.0
612,25151.72
613,17390.97
614,58550.59
615,65765.11
616,2512.53
617,0.0
618,19945.35
619,0.0
620,25980.73
621,77.41
622,42591.46
623,33167.28
624,60502.84
625,58335.31
626,67067.31
627,43094.08
628,0.0
629,19290.61
630,55635.93
631,24452.64
632,28860.72
633,0.0
634,28547.3
635,58724.04
636,0.0
637,67332.92
638,20913.39
639,46966.4
640,57624.7
641,96103.91
642,2011.7
643,32707.29
644,69317.08
