,OtherPay
0,400184.25
1,137811.38
2,16452.6
3,198306.9
4,182234.59
5,189082.74
6,134426.14
7,51322.5
8,40132.23
9,17115.73
10,33149.9
11,110804.3
12,0.0
13,21342.59
14,37424.11
15,13957.65
16,16115.86
17,18625.08
18,38115.47
19,16159.5
20,16679.79
21,15883.56
22,39955.25
23,24083.86
24,31909.28
25,11522.18
26,133695.76
27,16063.99
28,2357.0
29,15140.54
30,25972.64
31,5899.48
32,10789.18
33,103499.39
34,20658.0
35,16483.94
36,12000.0
37,111446.2
38,67083.83
39,39540.46
40,21055.17
41,21954.96
42,27330.59
43,15575.26
44,54040.18
45,0.0
46,14401.43
47,0.0
48,14851.04
49,20848.46
50,20477.16
51,0.0
52,26203.69
53,28988.36
54,18310.77
55,15004.37
56,114.37
57,22608.3
58,19016.4
59,14972.45
60,16113.62
61,128543.64
62,17542.29
63,15444.38
64,21889.67
65,14465.53
66,22785.08
67,31070.15
68,113226.92
69,14776.81
70,13864.99
71,135684.25
72,18743.9
73,0.0
74,50380.44
75,104030.1
76,40258.39
77,139279.69
78,28821.55
79,27802.89
80,58776.96
81,18238.75
82,21055.17
83,0.0
84,13216.41
85,15371.07
86,30180.49
87,133563.47
88,7018.6
89,59427.12
90,18764.67
91,118456.21
92,27303.11
93,12293.83
94,25434.68
95,12000.0
96,12615.6
97,22261.95
98,15315.61
99,0.0
100,21502.83
101,16054.24
102,18890.96
103,7228.67
104,18760.77
105,27043.61
106,36682.96
107,32080.36
108,32080.36
109,18655.85
110,10921.33
111,98578.97
112,237.0
113,31572.3
114,11893.84
115,8383.77
116,0.0
117,28658.16
118,25995.01
119,39029.76
120,25564.1
121,9561.44
122,15646.15
123,28921.31
124,2784.61
125,4651.44
126,13712.8
127,25855.73
128,17823.03
129,16054.2
130,57667.12
131,30952.65
132,0.0
133,61531.43
134,20744.06
135,25491.13
136,32949.41
137,0.0
138,1080.96
139,1080.96
140,1080.96
141,17583.73
142,82029.92
143,12306.26
144,8377.03
145,20429.43
146,31116.8
147,17596.3
148,46665.54
149,30619.46
150,18117.8
151,31449.4
152,37804.9
153,18236.44
154,13544.56
155,6235.28
156,86590.93
157,11000.84
158,12818.24
159,0.0
160,11373.58
161,15336.91
162,2903.37
163,73334.31
164,14753.88
165,16228.64
166,8344.75
167,14007.96
168,43997.82
169,33307.68
170,18300.05
171,31413.52
172,123649.73
173,17085.77
174,16089.38
175,18879.06
176,33357.87
177,8000.0
178,17071.3
179,0.0
180,11220.57
181,20353.22
182,0.0
183,10941.53
184,119351.05
185,0.0
186,30179.76
187,46493.65
188,0.0
189,33362.65
190,29377.94
191,28694.26
192,33299.41
193,18963.02
194,32202.61
195,16662.29
196,0.0
197,18723.76
198,18597.33
199,11712.14
200,14971.71
201,28447.45
202,25508.48
203,31660.13
204,17637.54
205,0.0
206,70568.42
207,14410.33
208,30690.37
209,142094.49
210,34958.63
211,16206.24
212,20392.43
213,15962.27
214,10173.43
215,15329.64
216,773.7
217,11374.31
218,15551.54
219,0.0
220,18491.47
221,20458.49
222,30020.72
223,79648.18
224,97799.84
225,12252.44
226,15443.68
227,16824.25
228,75533.1
229,18933.1
230,0.0
231,13390.01
232,29333.37
233,15365.21
234,22564.64
235,26005.7
236,29240.55
237,14539.0
238,7497.84
239,12252.7
240,12211.62
241,16112.43
242,5506.27
243,18304.0
244,71120.05
245,23901.42
246,39271.71
247,29584.32
248,4749.91
249,6407.34
250,0.0
251,11051.55
252,12119.4
253,12119.37
254,17713.43
255,29110.14
256,31139.57
257,10799.25
258,72242.52
259,26432.87
260,18050.61
261,11547.94
262,0.0
263,72362.09
264,15366.99
265,27521.88
266,47839.37
267,11909.38
268,16693.53
269,26017.99
270,17540.56
271,40829.52
272,17180.05
273,2713.83
274,10542.72
275,19217.48
276,7308.25
277,10125.04
278,69787.98
279,21611.32
280,14860.06
281,7933.55
282,0.0
283,7386.3
284,6646.21
285,13162.31
286,3312.11
287,12000.0
288,19031.08
289,22315.92
290,27451.83
291,7105.58
292,4891.0
293,0.0
294,22759.89
295,14017.12
296,917.32
297,18210.2
298,0.0
299,0.0
300,17569.48
301,26499.88
302,68766.28
303,819.03
304,35429.68
305,11408.55
306,0.0
307,17837.79
308,60183.94
309,22721.82
310,14718.05
311,14738.61
312,27291.01
313,11124.0
314,23479.99
315,10000.0
316,408.0
317,17411.01
318,17542.28
319,7310.63
320,16278.33
321,5213.4
322,7436.03
323,16406.95
324,23341.17
325,19832.9
326,43704.98
327,13913.92
328,24038.9
329,13194.76
330,17839.48
331,0.0
332,33361.56
333,0.0
334,0.0
335,0.0
336,8609.1
337,2484.0
338,38477.41
339,36872.29
340,23043.77
341,49657.86
342,16994.89
343,13932.0
344,33033.7
345,17938.07
346,13566.18
347,14216.14
348,4586.65
349,16158.29
350,4567.0
351,18028.73
352,21086.11
353,64972.13
354,64687.4
355,16725.49
356,19907.17
357,16879.59
358,16199.59
359,15365.22
360,34724.71
361,10250.24
362,65955.32
363,28384.07
364,11849.25
365,18041.28
366,4609.75
367,4586.67
368,4586.66
369,4586.63
370,4586.42
371,3936.6
372,75792.63
373,760.4
374,3961.68
375,116244.66
376,841.15
377,31574.4
378,17982.25
379,21761.55
380,0.0
381,0.0
382,0.0
383,0.0
384,15277.88
385,0.0
386,7859.19
387,8255.82
388,15824.19
389,101385.37
390,0.0
391,17740.91
392,11868.5
393,3337.83
394,17980.94
395,10000.0
396,1954.26
397,72405.76
398,0.0
399,0.0
400,64004.25
401,6941.82
402,49075.6
403,17685.42
404,0.0
405,17998.95
406,26596.23
407,0.0
408,702.0
409,53807.81
410,32355.58
411,0.0
412,0.0
413,22238.32
414,37551.97
415,0.0
416,14442.42
417,27479.77
418,20541.0
419,17904.06
420,25965.05
421,29403.44
422,15365.22
423,16784.8
424,17542.3
425,915.59
426,17998.64
427,6962.09
428,17963.61
429,3140.95
430,0.0
431,16445.1
432,7409.15
433,20149.41
434,0.0
435,15549.0
436,55339.68
437,25885.4
438,56746.05
439,0.0
440,53970.93
441,27437.04
442,27377.5
443,12096.0
444,15277.83
445,17123.68
446,14966.3
447,15277.8
448,0.0
449,17743.1
450,21993.31
451,24979.59
452,0.0
453,0.0
454,1803.48
455,0.0
456,18749.8
457,17246.59
458,57585.87
459,14943.44
460,16643.23
461,9648.25
462,85231.49
463,8216.57
464,38960.95
465,53855.93
466,31931.61
467,41259.22
468,44767.25
469,20947.8
470,5336.6
471,15557.27
472,54237.25
473,17981.88
474,16067.38
475,24346.72
476,64937.87
477,0.0
478,17542.29
479,10481.51
480,5219.84
